# gunzip -c exp_learning/inside/SAT_tri4/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_test_learning 
# Started at Sat Feb 22 20:34:00 CST 2020
#
At utterance begin, SIL accounts for 91.3% of phone occurrences, with duration (median, mean, 95-percentile) is (40,43.5,93) frames.
Overall, x_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.8,37) frames.
Overall, sh_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (16,17.7,35) frames.
Overall, m_I accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.1,32) frames.
Overall, j_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,13.6,30) frames.
Overall, d_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.8,25) frames.
Overall, o3_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (10,14.4,39) frames.
Overall, ng1_I accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (14,18.3,48) frames.
Overall, u3_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,21.9,50) frames.
Overall, g_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,14.8,31) frames.
Overall, x_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,30) frames.
Overall, nn1_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (11,13.4,30) frames.
Overall, u3_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (16,20.1,49) frames.
Overall, t_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.3,21) frames.
Overall, u2_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,16.5,44) frames.
Overall, m_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (13,15.4,32) frames.
Overall, i3_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (21,23.8,53) frames.
Overall, nn4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (18,18.7,36) frames.
Overall, ng4_E accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (19,20.5,39) frames.
Overall, z_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,27) frames.
Overall, e4_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,12.4,30) frames.
Overall, g_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.3,28) frames.
Overall, ng1_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (21,22.2,46) frames.
Overall, b_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.9,28) frames.
Overall, h_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.5,32) frames.
Overall, ng2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (13,17.5,45) frames.
Overall, nn2_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (17,18.2,36) frames.
Overall, ch_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (14,15.9,30) frames.
Overall, yu2_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (11,16.5,42) frames.
Overall, l_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.0,24) frames.
Overall, u1_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (17,21.5,51) frames.
Overall, ch_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (12,14.1,29) frames.
Overall, a4_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (29,29.2,52) frames.
Overall, i1_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (28,31.4,65) frames.
Overall, o3_E accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (18,23.0,54) frames.
The optional-silence phone SIL occupies 34.3% of frames overall 
Limiting the stats to the 66.4% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 2.9% of frames.
Assuming 100 frames per second, the alignments represent 140.1 hours of data, or 92.0 hours if SIL frames are excluded.
Utterance-internal optional-silences SIL comprise 2.1% of utterance-internal phones, with duration (median, mean, 95-percentile) = (13,24.1,75)
# Accounting: time=1 threads=1
# Ended (code 0) at Sat Feb 22 20:34:01 CST 2020, elapsed time 1 seconds
