Wang_Mhint_S2_190919_S2_Wang_1 這 學 期 學 校 有 書 法 暗
Wang_Mhint_S2_190919_S2_Wang_10 秘 書 在 幫 老 闆 寫 文 件
Wang_Mhint_S2_190919_S2_Wang_131 他 倒 了 一 杯 準 備 吃 藥
Wang_Mhint_S2_190919_S2_Wang_132 他 覺 得 外 國 人 名 很 難 記
Wang_Mhint_S2_190919_S2_Wang_133 爸 爸 以 前 是 籃 球 隊 隊 員
Wang_Mhint_S2_190919_S2_Wang_134 醫 生 說 他 需 要 住 院 治 療
Wang_Mhint_S2_190919_S2_Wang_135 電 視 上 經 常 有 時 裝 表 演
Wang_Mhint_S2_190919_S2_Wang_136 他 頭 上 的 傷 口 縫 了 七 針
Wang_Mhint_S2_190919_S2_Wang_137 所 有 的 小 朋 友 都 在 吃 飯
Wang_Mhint_S2_190919_S2_Wang_138 小 孩 子 都 喜 歡 吃 麥 當 勞
Wang_Mhint_S2_190919_S2_Wang_139 這 個 城 市 北 邊 是 工 業 區
Wang_Mhint_S2_190919_S2_Wang_14 這 個 超 市 的 東 西 很 便 宜
Wang_Mhint_S2_190919_S2_Wang_140 學 校 不 准 學 生 穿 高 跟 鞋
Wang_Mhint_S2_190919_S2_Wang_141 因 為 下 大 雨 比 賽 取 消 了
Wang_Mhint_S2_190919_S2_Wang_142 大 家 正 在 商 量 這 個 計 劃
Wang_Mhint_S2_190919_S2_Wang_143 他 們 都 在 抱 怨 物 價 上 漲
Wang_Mhint_S2_190919_S2_Wang_144 我 明 天 上 午 九 點 有 約 會
Wang_Mhint_S2_190919_S2_Wang_145 那 家 超 市 的 東 西 不 便 宜
Wang_Mhint_S2_190919_S2_Wang_146 他 的 爸 爸 在 大 學 教 數 學
Wang_Mhint_S2_190919_S2_Wang_147 那 家 餐 廳 的 包 子 很 有 名
Wang_Mhint_S2_190919_S2_Wang_148 他 們 部 門 春 節 放 假 五 天
Wang_Mhint_S2_190919_S2_Wang_149 那 邊 的 公 路 有 交 通 事 故
Wang_Mhint_S2_190919_S2_Wang_15 我 們 喜 歡 看 電 視 連 續 劇
Wang_Mhint_S2_190919_S2_Wang_150 大 伯 的 孩 子 們 都 很 孝 順
Wang_Mhint_S2_190919_S2_Wang_151 這 個 火 車 站 有 很 多 遊 客
Wang_Mhint_S2_190919_S2_Wang_152 奶 奶 會 講 好 多 恐 怖 故 事
Wang_Mhint_S2_190919_S2_Wang_153 鄰 居 家 經 常 有 人 打 麻 將
Wang_Mhint_S2_190919_S2_Wang_154 我 們 經 常 一 起 玩 撲 克 牌
Wang_Mhint_S2_190919_S2_Wang_155 媽 媽 每 天 都 幫 我 做 早 點
Wang_Mhint_S2_190919_S2_Wang_156 媽 媽 最 喜 歡 做 麻 婆 豆 腐
Wang_Mhint_S2_190919_S2_Wang_157 我 的 姊 姊 最 喜 歡 逛 書 店
Wang_Mhint_S2_190919_S2_Wang_158 樓 下 的 叔 叔 喜 歡 聽 歌 劇
Wang_Mhint_S2_190919_S2_Wang_159 廚 房 裏 最 近 發 現 有 老 鼠
Wang_Mhint_S2_190919_S2_Wang_16 他 們 非 常 熟 悉 中 國 歷 史
Wang_Mhint_S2_190919_S2_Wang_160 週 末 我 們 全 家 去 看 電 影
Wang_Mhint_S2_190919_S2_Wang_161 她 參 加 好 多 人 出 去 旅 遊
Wang_Mhint_S2_190919_S2_Wang_162 平 常 應 該 注 意 個 人 衛 生
Wang_Mhint_S2_190919_S2_Wang_163 他 買 了 一 本 厚 厚 的 字 典
Wang_Mhint_S2_190919_S2_Wang_164 公 佈 欄 貼 著 一 張 通 緝 令
Wang_Mhint_S2_190919_S2_Wang_165 他 每 天 上 班 都 要 打 領 帶
Wang_Mhint_S2_190919_S2_Wang_166 他 收 到 一 大 筆 海 外 匯 款
Wang_Mhint_S2_190919_S2_Wang_167 那 壺 水 已 經 開 了 很 久 了
Wang_Mhint_S2_190919_S2_Wang_168 學 校 今 天 晚 上 舉 辦 舞 會
Wang_Mhint_S2_190919_S2_Wang_169 他 被 學 習 參 加 畢 業 典 禮
Wang_Mhint_S2_190919_S2_Wang_17 這 個 人 看 起 來 彬 彬 有 禮
Wang_Mhint_S2_190919_S2_Wang_170 他 買 了 一 束 鮮 花 送 給 她
Wang_Mhint_S2_190919_S2_Wang_171 今 天 出 門 要 記 得 帶 雨 傘
Wang_Mhint_S2_190919_S2_Wang_172 樓 下 的 小 貓 整 晚 都 在 叫
Wang_Mhint_S2_190919_S2_Wang_173 阿 姨 送 給 我 一 包 水 果 糖
Wang_Mhint_S2_190919_S2_Wang_174 我 在 星 期 天 常 常 晚 起 床
Wang_Mhint_S2_190919_S2_Wang_175 他 每 天 都 要 工 作 到 深 夜
Wang_Mhint_S2_190919_S2_Wang_176 老 師 很 關 心 我 們 的 生 活
Wang_Mhint_S2_190919_S2_Wang_177 他 的 幾 個 同 事 是 電 腦 迷
Wang_Mhint_S2_190919_S2_Wang_178 我 們 部 門 主 任 經 常 出 國
Wang_Mhint_S2_190919_S2_Wang_179 他 下 星 期 一 要 參 加 會 議
Wang_Mhint_S2_190919_S2_Wang_18 他 的 臉 上 長 了 很 多 麻 疹
Wang_Mhint_S2_190919_S2_Wang_180 這 部 連 續 劇 的 確 很 無 聊
Wang_Mhint_S2_190919_S2_Wang_181 那 間 餐 廳 吃 早 點
Wang_Mhint_S2_190919_S2_Wang_182 她 們 家 的 寶 寶 剛 過 滿 月
Wang_Mhint_S2_190919_S2_Wang_183 爸 爸 去 幫 大 家 買 電 影 票
Wang_Mhint_S2_190919_S2_Wang_184 有 許 多 家 長 接 孩 子 放 學
Wang_Mhint_S2_190919_S2_Wang_185 深 夜 聽 到 有 人 在 彈 鋼 琴
Wang_Mhint_S2_190919_S2_Wang_186 他 今 天 帶 了 一 條 金 項 鍊
Wang_Mhint_S2_190919_S2_Wang_187 這 班 列 車 因 故 被 取 消 了
Wang_Mhint_S2_190919_S2_Wang_188 今 晚 有 棒 球 賽 實 況 轉 播
Wang_Mhint_S2_190919_S2_Wang_189 我 的 城 裡 有 著 跨 海 大 橋
Wang_Mhint_S2_190919_S2_Wang_19 他 今 年 七 月 要 參 加 考 試
Wang_Mhint_S2_190919_S2_Wang_190 我 們 都 參 加 學 校 合 唱 團
Wang_Mhint_S2_190919_S2_Wang_191 我 們 每 天 早 上 都 要 跑 步
Wang_Mhint_S2_190919_S2_Wang_192 我 發 現 廚 房 裡 沒 有 鹽 了
Wang_Mhint_S2_190919_S2_Wang_193 媽 媽 明 天 要 去 超 市 買 油
Wang_Mhint_S2_190919_S2_Wang_194 爸 爸 今 天 買 了 一 個 西 瓜
Wang_Mhint_S2_190919_S2_Wang_195 媽 媽 做 好 飯 等 爸 爸 回 來
Wang_Mhint_S2_190919_S2_Wang_196 他 每 天 都 要 練 習 彈 鋼 琴
Wang_Mhint_S2_190919_S2_Wang_197 剛 才 聽 到 隔 壁 家 在 吵 架
Wang_Mhint_S2_190919_S2_Wang_198 爸 爸 不 小 心 把 茶 打 翻 了
Wang_Mhint_S2_190919_S2_Wang_199 媽 媽 經 常 寄 些 錢 給 外 婆
Wang_Mhint_S2_190919_S2_Wang_2 公 司 接 到 一 份 國 外 訂 單
Wang_Mhint_S2_190919_S2_Wang_20 他 特 別 留 意 看 天 氣 預 報
Wang_Mhint_S2_190919_S2_Wang_200 遠 遠 的 聽 到 有 人 在 唱 歌
Wang_Mhint_S2_190919_S2_Wang_201 我 爸 爸 最 喜 歡 喝 龍 井 茶
Wang_Mhint_S2_190919_S2_Wang_202 我 剛 剛 把 作 業 交 給 老 師
Wang_Mhint_S2_190919_S2_Wang_203 我 星 期 天 去 公 園 放 風 箏
Wang_Mhint_S2_190919_S2_Wang_204 我 經 常 打 電 話 給 我 媽 媽
Wang_Mhint_S2_190919_S2_Wang_205 爸 爸 每 年 都 送 禮 給 他
Wang_Mhint_S2_190919_S2_Wang_206 我 們 今 天 晚 上 要 看 球 賽
Wang_Mhint_S2_190919_S2_Wang_207 他 出 門 前 忘 了 關 水 龍 頭
Wang_Mhint_S2_190919_S2_Wang_208 她 今 天 收 到 一 個 大 包 裹
Wang_Mhint_S2_190919_S2_Wang_209 我 昨 天 晚 上 去 聽 演 唱 會
Wang_Mhint_S2_190919_S2_Wang_21 我 昨 天 格 子 招 待 會
Wang_Mhint_S2_190919_S2_Wang_210 上 個 月 很 多 人 得 了 麻 疹
Wang_Mhint_S2_190919_S2_Wang_211 她 送 給 爸 爸 一 隻 防 水 錶
Wang_Mhint_S2_190919_S2_Wang_212 大 家 都 習 慣 叫 他 的 小 名
Wang_Mhint_S2_190919_S2_Wang_213 我 們 班 男 生 喜 歡 踢 足 球
Wang_Mhint_S2_190919_S2_Wang_214 老 師 說 下 一 節 課 取 消 了
Wang_Mhint_S2_190919_S2_Wang_215 他 的 錄 取 資 格 被 取 消 了
Wang_Mhint_S2_190919_S2_Wang_216 三 名 學 生 被 學 校 開 除 了
Wang_Mhint_S2_190919_S2_Wang_217 今 年 的 聯 考 考 題 比 較 難
Wang_Mhint_S2_190919_S2_Wang_218 我 們 明 天 要 辦 慶 祝 晚 會
Wang_Mhint_S2_190919_S2_Wang_219 我 和 幾 個 同 學 要 去 溜 冰
Wang_Mhint_S2_190919_S2_Wang_22 我 忘 了 把 參 考 書 帶 給 你
Wang_Mhint_S2_190919_S2_Wang_220 鄰 居 家 的 小 花 貓 很 可 愛
Wang_Mhint_S2_190919_S2_Wang_221 他 幾 森 林 春 天 要 刮 大 風
Wang_Mhint_S2_190919_S2_Wang_222 這 隻 貓 把 床 單 給 抓 破 了
Wang_Mhint_S2_190919_S2_Wang_223 我 朋 友 在 郊 區 買 了 房 子
Wang_Mhint_S2_190919_S2_Wang_224 我 早 上 在 火 車 站 遇 到 他
Wang_Mhint_S2_190919_S2_Wang_225 我 穿 那 套 衣 服 特 別 合 身
Wang_Mhint_S2_190919_S2_Wang_226 那 家 超 市 最 近 在 大 減 價
Wang_Mhint_S2_190919_S2_Wang_227 我 開 會 時 碰 到 老 同 學
Wang_Mhint_S2_190919_S2_Wang_228 學 校 經 常 檢 查 宿 舍 衛 生
Wang_Mhint_S2_190919_S2_Wang_229 運 動 員 在 操 場 練 習 投 籃
Wang_Mhint_S2_190919_S2_Wang_23 讓 我 們 約 個 時 間 見 面 吧
Wang_Mhint_S2_190919_S2_Wang_230 鄰 居 家 最 近 在 裝 修 房 子
Wang_Mhint_S2_190919_S2_Wang_231 我 十 點 鐘 去 會 議 室 開 會
Wang_Mhint_S2_190919_S2_Wang_232 他 們 是 多 年 的 老 朋 友
Wang_Mhint_S2_190919_S2_Wang_233 山 頂 上 的 積 雪 常 年 不 化
Wang_Mhint_S2_190919_S2_Wang_234 她 們 姊 妹 兩 個 是 雙 胞 胎
Wang_Mhint_S2_190919_S2_Wang_235 這 個 寺 廟 是 唐 代 的 建 築
Wang_Mhint_S2_190919_S2_Wang_236 這 裡 風 景 美 得 像 一 幅 畫
Wang_Mhint_S2_190919_S2_Wang_237 寄 幾 個 包 裹 要 很 多 錢
Wang_Mhint_S2_190919_S2_Wang_238 媽 媽 做 好 飯 等 爸 爸 回 來
Wang_Mhint_S2_190919_S2_Wang_239 他 在 家 裡 幫 媽 媽 洗 廁 所
Wang_Mhint_S2_190919_S2_Wang_24 我 想 和 您 討 論 那 個 計 劃
Wang_Mhint_S2_190919_S2_Wang_240 她 今 天 下 午 突 然 肚 子 痛
Wang_Mhint_S2_190919_S2_Wang_241 再 十 分 鐘 火 車 就 要 開 了
Wang_Mhint_S2_190919_S2_Wang_242 哥 哥 的 腳 長 了 個 大 水 泡
Wang_Mhint_S2_190919_S2_Wang_243 醫 院 大 門 口 有 很 多 花 店
Wang_Mhint_S2_190919_S2_Wang_244 他 們 經 常 去 餐 廳 吃 飯
Wang_Mhint_S2_190919_S2_Wang_245 叔 叔 家 養 了 一 大 缸 金 魚
Wang_Mhint_S2_190919_S2_Wang_246 他 答 應 要 請 我 們 喝 喜 酒
Wang_Mhint_S2_190919_S2_Wang_247 下 雨 後 馬 路 上 積 滿 了 水
Wang_Mhint_S2_190919_S2_Wang_248 有 人 送 給 他 一 盒 化 妝 品
Wang_Mhint_S2_190919_S2_Wang_249 今 年 國 慶 日 放 了 幾 天 假
Wang_Mhint_S2_190919_S2_Wang_25 我 有 事 要 和 你 們 經 理 談
Wang_Mhint_S2_190919_S2_Wang_250 大 家 元 宵 節 要 去 看 燈 會
Wang_Mhint_S2_190919_S2_Wang_251 她 學 校 規 定 學 生 穿 制 服
Wang_Mhint_S2_190919_S2_Wang_252 弟 弟 非 常 喜 歡 穿 運 動 鞋
Wang_Mhint_S2_190919_S2_Wang_253 他 手 錶 慢 了 十 五 分 鐘
Wang_Mhint_S2_190919_S2_Wang_254 周 末 我 幫 媽 媽 打 掃 房 子
Wang_Mhint_S2_190919_S2_Wang_255 她 手 上 戴 了 一 只 玉 手 環
Wang_Mhint_S2_190919_S2_Wang_256 我 父 母 希 望 我 上 醫 學 院
Wang_Mhint_S2_190919_S2_Wang_257 那 個 老 奶 奶 心 地 很 善 良
Wang_Mhint_S2_190919_S2_Wang_258 他 發 現 鋼 筆 沒 有 墨 水 了
Wang_Mhint_S2_190919_S2_Wang_259 他 喜 歡 跟 孩 子 們 一 起 玩
Wang_Mhint_S2_190919_S2_Wang_26 我 要 搭 乘 本 周 五 的 飛 機
Wang_Mhint_S2_190919_S2_Wang_260 我 替 他 向 老 師 請 了 病 假
Wang_Mhint_S2_190919_S2_Wang_261 他 最 近 好 像 有 什 麼 心 事
Wang_Mhint_S2_190919_S2_Wang_262 他 今 天 覺 得 頭 昏 昏 沉 沉 的
Wang_Mhint_S2_190919_S2_Wang_263 他 穿 了 一 件 粉 紅 色 外 套
Wang_Mhint_S2_190919_S2_Wang_264 這 個 公 園 有 兩 隻 大 熊 貓
Wang_Mhint_S2_190919_S2_Wang_265 我 們 中 秋 節 一 起 去 賞 月
Wang_Mhint_S2_190919_S2_Wang_266 這 段 公 路 被 洪 水 沖 毀 了
Wang_Mhint_S2_190919_S2_Wang_267 他 的 作 文 在 比 賽 中 獲 獎
Wang_Mhint_S2_190919_S2_Wang_268 他 買 了 一 大 包 五 香 瓜 子
Wang_Mhint_S2_190919_S2_Wang_269 弟 弟 拿 了 相 機 出 去 照 相
Wang_Mhint_S2_190919_S2_Wang_27 我 要 預 訂 三 個 人 的 座 位
Wang_Mhint_S2_190919_S2_Wang_270 妹 妹 上 街 買 了 一 件 洋 裝
Wang_Mhint_S2_190919_S2_Wang_271 我 們 都 笑 他 是 個 膽 小 鬼
Wang_Mhint_S2_190919_S2_Wang_272 我 們 幫 他 把 櫃 子 搬 上 樓
Wang_Mhint_S2_190919_S2_Wang_273 這 場 雨 整 整 下 了 一 星 期
Wang_Mhint_S2_190919_S2_Wang_274 花 園 裡 的 雜 草 長 得 很 快
Wang_Mhint_S2_190919_S2_Wang_275 護 士 每 天 給 病 人 換 床 單
Wang_Mhint_S2_190919_S2_Wang_276 他 每 天 要 幫 媽 媽 熬 中 藥
Wang_Mhint_S2_190919_S2_Wang_277 遊 客 們 都 愛 買 些 紀 念 品
Wang_Mhint_S2_190919_S2_Wang_278 他 們 合 伙 開 了 一 間 公 司
Wang_Mhint_S2_190919_S2_Wang_279 他 的 夢 想 是 當 一 名 記 者
Wang_Mhint_S2_190919_S2_Wang_28 把 這 張 卡 片 填 好 交 給 我
Wang_Mhint_S2_190919_S2_Wang_280 這 個 房 間 的 電 風 扇 壞 了
Wang_Mhint_S2_190919_S2_Wang_281 她 覺 得 很 多 衣 物 給 災 區
Wang_Mhint_S2_190919_S2_Wang_282 電 視 報 導 那 裡 發 生 地 震
Wang_Mhint_S2_190919_S2_Wang_283 姊 夫 修 好 了 那 個 收 音 機
Wang_Mhint_S2_190919_S2_Wang_284 我 把 不 用 的 傢 俱 送 人 了
Wang_Mhint_S2_190919_S2_Wang_285 我 幫 他 把 雞 蛋 放 入 冰 箱
Wang_Mhint_S2_190919_S2_Wang_286 橘 黃 色 的 燈 顯 得 很 溫 馨
Wang_Mhint_S2_190919_S2_Wang_287 那 個 牆 上 掛 著 一 幅 油 畫
Wang_Mhint_S2_190919_S2_Wang_288 她 用 抹 布 把 桌 子 擦 乾 淨
Wang_Mhint_S2_190919_S2_Wang_289 剛 才 有 人 打 電 話 給 媽 媽
Wang_Mhint_S2_190919_S2_Wang_29 每 個 人 需 要 付 十 塊 台 幣
Wang_Mhint_S2_190919_S2_Wang_290 她 的 數 學 成 績 全 班 第 一
Wang_Mhint_S2_190919_S2_Wang_291 他 有 治 氣 喘 的 祖 傳 秘 方
Wang_Mhint_S2_190919_S2_Wang_292 小 妹 現 在 自 己 會 做 飯 了
Wang_Mhint_S2_190919_S2_Wang_293 清 明 節 下 了 一 天 毛 毛 雨
Wang_Mhint_S2_190919_S2_Wang_294 昨 天 他 向 我 借 了 三 百 塊
Wang_Mhint_S2_190919_S2_Wang_295 廚 師 在 節 目 裡 表 演 拉 麵
Wang_Mhint_S2_190919_S2_Wang_296 他 們 正 樹 上 噴 灑 農 藥
Wang_Mhint_S2_190919_S2_Wang_297 交 通 警 察 正 在 疏 導 人 群
Wang_Mhint_S2_190919_S2_Wang_298 他 仔 細 幫 病 人 檢 查 牙 齒
Wang_Mhint_S2_190919_S2_Wang_299 草 叢 裡 有 隻 蟋 蟀 在 叫
Wang_Mhint_S2_190919_S2_Wang_3 他 在 禮 堂 主 持 開 幕 典 禮
Wang_Mhint_S2_190919_S2_Wang_30 她 為 你 的 考 試 成 績 擔 心
Wang_Mhint_S2_190919_S2_Wang_300 他 們 學 校 有 很 多 留 學 生
Wang_Mhint_S2_190919_S2_Wang_301 小 朋 友 們 在 看 螞 蟻 搬 家
Wang_Mhint_S2_190919_S2_Wang_302 這 個 池 塘 裡 養 了 很 多 魚
Wang_Mhint_S2_190919_S2_Wang_303 這 裡 將 要 建 一 座 發 電 廠
Wang_Mhint_S2_190919_S2_Wang_304 他 下 山 時 被 蛇 咬 了 一 口
Wang_Mhint_S2_190919_S2_Wang_305 他 計 劃 今 年 買 一 台 電 腦
Wang_Mhint_S2_190919_S2_Wang_306 這 間 公 司 要 招 聘 工 程 師
Wang_Mhint_S2_190919_S2_Wang_307 便 依 警 察 抓 到 一 名 小 偷
Wang_Mhint_S2_190919_S2_Wang_308 她 是 那 座 大 樓 的 設 計 師
Wang_Mhint_S2_190919_S2_Wang_309 他 們 擺 好 姿 勢 準 備 拍 照
Wang_Mhint_S2_190919_S2_Wang_31 大 多 數 北 方 人 愛 吃 水 餃
Wang_Mhint_S2_190919_S2_Wang_310 今 天 老 師 宣 布 提 前 放 學
Wang_Mhint_S2_190919_S2_Wang_311 桌 子 上 擺 了 一 大 盤 瓜 子
Wang_Mhint_S2_190919_S2_Wang_312 中 國 萬 里 長 城 中 外 名 聞
Wang_Mhint_S2_190919_S2_Wang_313 那 片 原 始 森 林 發 生 大 火
Wang_Mhint_S2_190919_S2_Wang_314 棒 球 飛 過 來 打 破 了 窗 戶
Wang_Mhint_S2_190919_S2_Wang_315 他 的 哥 哥 養 了 一 群 白 鴿
Wang_Mhint_S2_190919_S2_Wang_316 她 做 完 功 課 才 上 床 睡 覺
Wang_Mhint_S2_190919_S2_Wang_317 一 群 孩 子 在 那 裡 玩 跳 繩
Wang_Mhint_S2_190919_S2_Wang_318 這 裡 的 風 俗 習 慣 很 特 別
Wang_Mhint_S2_190919_S2_Wang_319 他 腰 痛 的 老 毛 病 又 犯 了
Wang_Mhint_S2_190919_S2_Wang_32 聖 誕 節 前 信 箱 塞 滿 賀 卡
Wang_Mhint_S2_190919_S2_Wang_320 她 不 小 心 把 茶 杯 碰 翻 了
Wang_Mhint_S2_190919_S2_Wang_33 這 個 房 間 裡 的 燈 光 很 暗
Wang_Mhint_S2_190919_S2_Wang_34 外 面 的 氣 溫 是 零 下 十 度
Wang_Mhint_S2_190919_S2_Wang_35 他 穿 了 一 件 灰 格 子 上 衣
Wang_Mhint_S2_190919_S2_Wang_36 他 裝 修 房 子 花 了 三 萬 塊
Wang_Mhint_S2_190919_S2_Wang_37 學 音 樂 的 人 需 要 些 天 賦
Wang_Mhint_S2_190919_S2_Wang_38 大 家 有 事 都 愛 找 他 商 量
Wang_Mhint_S2_190919_S2_Wang_39 一 大 早 他 就 在 外 面 掃 地
Wang_Mhint_S2_190919_S2_Wang_4 這 家 書 店 今 天 正 式 營 業
Wang_Mhint_S2_190919_S2_Wang_40 你 出 門 時 別 忘 了 帶 鑰 匙
Wang_Mhint_S2_190919_S2_Wang_41 他 一 口 氣 喝 了 三 碗 豆 漿
Wang_Mhint_S2_190919_S2_Wang_42 他 好 不 容 易 借 到 五 萬 元
Wang_Mhint_S2_190919_S2_Wang_43 公 園 裡 有 很 多 人 放 風 箏
Wang_Mhint_S2_190919_S2_Wang_44 她 的 腳 被 汽 車 門 夾 傷 了
Wang_Mhint_S2_190919_S2_Wang_45 他 的 工 作 經 驗 十 分 豐 富
Wang_Mhint_S2_190919_S2_Wang_46 他 今 天 覺 得 有 點 不 舒 服
Wang_Mhint_S2_190919_S2_Wang_47 他 的 職 業 是 圖 書 館 員
Wang_Mhint_S2_190919_S2_Wang_48 他 的 行 為 讓 大 家 很 反 感
Wang_Mhint_S2_190919_S2_Wang_49 這 個 案 子 明 天 開 庭 宣 判
Wang_Mhint_S2_190919_S2_Wang_5 今 年 夏 天 他 剃 了 個 光 頭
Wang_Mhint_S2_190919_S2_Wang_50 這 次 英 文 考 試 我 很 緊 張
Wang_Mhint_S2_190919_S2_Wang_51 我 正 在 四 處 找 那 張 收 據
Wang_Mhint_S2_190919_S2_Wang_52 今 晚 我 們 合 唱 團 要 綵 排
Wang_Mhint_S2_190919_S2_Wang_53 明 天 我 們 中 學 同 學 聚 會
Wang_Mhint_S2_190919_S2_Wang_54 我 們 都 願 意 選 他 作 班 長
Wang_Mhint_S2_190919_S2_Wang_55 這 個 老 師 的 課 很 受 歡 迎
Wang_Mhint_S2_190919_S2_Wang_56 大 家 晚 上 睡 覺 要 點 蚊 香
Wang_Mhint_S2_190919_S2_Wang_57 他 們 是 籃 球 校 隊 的 隊 員
Wang_Mhint_S2_190919_S2_Wang_58 他 參 加 學 校 的 歌 唱 比 賽
Wang_Mhint_S2_190919_S2_Wang_59 他 每 天 都 在 英 文 廣 播
Wang_Mhint_S2_190919_S2_Wang_6 這 群 訪 客 都 戴 著 識 別 證
Wang_Mhint_S2_190919_S2_Wang_60 他 特 別 喜 歡 看 足 球 比 賽
Wang_Mhint_S2_190919_S2_Wang_61 爸 爸 戴 老 花 眼 鏡 看 報 紙
Wang_Mhint_S2_190919_S2_Wang_62 這 位 醫 生 手 術 做 得 很 好
Wang_Mhint_S2_190919_S2_Wang_63 婆 婆 今 天 炒 菜 放 多 了 鹽
Wang_Mhint_S2_190919_S2_Wang_64 他 去 書 店 買 了 好 幾 本 書
Wang_Mhint_S2_190919_S2_Wang_65 全 家 人 都 非 常 喜 歡 吃 魚
Wang_Mhint_S2_190919_S2_Wang_66 她 喜 歡 去 麵 包 店 買 蛋 糕
Wang_Mhint_S2_190919_S2_Wang_67 他 騎 車 太 快 小 心 撞 到 人
Wang_Mhint_S2_190919_S2_Wang_68 去 醫 院 南 邊 有 一 個 小 花 園
Wang_Mhint_S2_190919_S2_Wang_69 最 近 的 電 費 好 像 增 加 了
Wang_Mhint_S2_190919_S2_Wang_7 她 聽 到 這 個 消 息 很 傷 心
Wang_Mhint_S2_190919_S2_Wang_70 她 說 昨 天 做 了 一 個 怪 夢
Wang_Mhint_S2_190919_S2_Wang_71 他 們 都 喜 歡 這 個 新 老 師
Wang_Mhint_S2_190919_S2_Wang_72 我 們 全 家 都 喜 歡 八 寶 粥
Wang_Mhint_S2_190919_S2_Wang_73 他 們 會 背 誦 李 白 的 詞 詩
Wang_Mhint_S2_190919_S2_Wang_74 我 肯 定 手 續 上 午 有 大 雨
Wang_Mhint_S2_190919_S2_Wang_75 我 很 相 信 她 的 決 策 能 力
Wang_Mhint_S2_190919_S2_Wang_76 我 們 的 市 長 是 有 遠 見 的
Wang_Mhint_S2_190919_S2_Wang_77 他 在 比 賽 中 獲 得 第 一
Wang_Mhint_S2_190919_S2_Wang_78 他 們 在 這 家 飯 店 等 你 嗎
Wang_Mhint_S2_190919_S2_Wang_79 我 完 全 同 意 你 們 的 觀 點
Wang_Mhint_S2_190919_S2_Wang_8 他 在 扭 傷 的 腳 上 敷 冰 塊
