這	zh er4 
出國	ch u1  g u2 o2 
星期一	x i1 ng1  q i2  i1 
會議	h u4 e4 i4  i4 
部	b u4 
電視劇	d i4 a4 nn4  sh ii4  j yu4 
的確	d er0  q yu4 e4 
無聊	u2  l i2 a2 u2 
間	j i1 a1 nn1 
寶寶	b a3 u3  b a3 u3 
剛	g a1 ng1 
過	g u4 o4 
滿月	m a3 nn3  yu4 e4 
票	p i4 a4 u4 
許多	x yu3  d u1 o1 
家長	j i1 a1  zh a3 ng3 
放學	f a4 ng4  x yu2 e2 
彈	d a4 nn4 
鋼琴	g a1 ng1  q i2 nn2 
條	t i2 a2 u2 
金項鍊	j i1 nn1  x i4 a4 ng4  l i4 a4 nn4 
班	b a1 nn1 
列車	l i4 e4  ch er1 
因故	i1 nn1  g u4 
棒球賽	b a4 ng4  q i2 o2 u2  s a4 i4 
實況	sh ii2  k u4 a4 ng4 
轉播	zh u3 a3 nn3  b o1 
城	ch ng2 
跨海	k u4 a4  h a3 i3 
橋	q i2 a2 u2 
跑	p a3 u3 
步	b u4 
沒有	m e2 i2  i3 o3 u3 
油	i2 o2 u2 
西瓜	x i1  g u1 a1 
做好	z u4 o4  h a3 u3 
飯	f a4 nn4 
回來	h u2 e2 i2  l a2 i2 
練習	l i4 a4 nn4  x i2 
彈鋼琴	d a4 nn4  g a1 ng1  q i2 nn2 
隔壁	g er2  b i4 
吵架	ch a3 u3  j i4 a4 
打翻	d a3  f a1 nn1 
寄	j i4 
錢	q i2 a2 nn2 
給	g e3 i3 
遠遠的	yu3 a3 nn3  yu3 a3 nn3  d er0 
唱歌	ch a4 ng4  g er1 
龍井茶	l u2 ng2  j i3 ng3  ch a2 
剛剛	g a1 ng1  g a1 ng1 
作業	z u4 o4  i4 e4 
打電話	d a3  d i4 a4 nn4  h u4 a4 
年	n i2 a2 nn2 
禮	l i3 
球賽	q i2 o2 u2  s a4 i4 
關	g u1 a1 nn1 
水龍頭	sh u3 e3 i3  l u2 ng2  t o2 u2 
包裹	b a1 u1  g u3 o3 
演唱會	i3 a3 nn3  ch a4 ng4  h u4 e4 i4 
支	zh ii1 
防水	f a2 ng2  sh u3 e3 i3 
錶	b i3 a3 u3 
男生	n a2 nn2  sh ng1 
節	j i2 e2 
錄取	l u4  q yu3 
資格	z ii1  g er2 
開除	k a1 i1  ch u2 
聯考	l i2 a2 nn2  k a3 u3 
考題	k a3 u3  t i2 
比較	b i3  j i4 a4 u4 
辦	b a4 nn4 
慶祝	q i4 ng4  zh u4 
晚會	u3 a3 nn3  h u4 e4 i4 
溜冰	l i1 o1 u1  b i1 ng1 
花貓	h u1 a1  m a1 u1 
可愛	k er3  a4 i4 
那裡	n a4  l i3 
刮	g u1 a1 
風	f ng1 
床單	ch u2 a2 ng2  d a1 nn1 
抓破	zh u1 a1  p o4 
郊區	j i1 a1 u1  q yu1 
遇到	yu4  d a4 u4 
套	t a4 u4 
合身	h er2  sh ern1 
大減價	d a4  j i3 a3 nn3  j i4 a4 
開會	k a1 i1  h u4 e4 i4 
碰到	p ng4  d a4 u4 
老	l a3 u3 
檢查	j i3 a3 nn3  ch a2 
宿舍	s u4  sh er4 
運動員	yu4 nn4  d u4 ng4  yu2 a2 nn2 
操場	c a1 u1  ch a3 ng3 
投籃	t o2 u2  l a2 nn2 
十點鐘	sh ii2  d i3 a3 nn3  zh u1 ng1 
會議室	h u4 e4 i4  i4  sh ii4 
老朋友	l a3 u3  p ng2  i3 o3 u3 
山頂	sh a1 nn1  d i3 ng3 
積雪	j i1  x yu3 e3 
長年	zh a3 ng3  n i2 a2 nn2 
化	h u4 a4 
她們	t a1  m ern0 
姊妹	z ii3  m e4 i4 
雙胞胎	sh u1 a1 ng1  b a1 u1  t a1 i1 
唐代	t a2 ng2  d a4 i4 
這裡	zh er4  l i3 
風景	f ng1  j i3 ng3 
美	m e3 i3 
像	x i4 a4 ng4 
幅	f u2 
畫	h u4 a4 
洗廁所	x i3  c er4  s u3 o3 
突然	t u1  rh a2 nn2 
肚子	d u3  z ii0 
痛	t u4 ng4 
再	z a4 i4 
分鐘	f ern1  zh u1 ng1 
火車	h u3 o3  ch er1 
哥哥	g er1  g er1 
水泡	sh u3 e3 i3  p a4 u4 
大門	d a4  m ern2 
口	k o3 u3 
花店	h u1 a1  d i4 a4 nn4 
養	i3 a3 ng3 
缸	g a1 ng1 
金魚	j i1 nn1  yu2 
答應	d a2  i1 ng1 
喜酒	x i3  j i3 o3 u3 
下雨	x i4 a4  yu3 
後	h o4 u4 
馬路	m a3  l u4 
積滿	j i1  m a3 nn3 
盒	h er2 
化妝品	h u4 a4  zh u1 a1 ng1  p i3 nn3 
國慶日	g u2 o2  q i4 ng4  rh ii4 
假	j i3 a3 
元宵節	yu2 a2 nn2  x i1 a1 u1  j i2 e2 
燈會	d ng1  h u4 e4 i4 
規定	g u1 e1 i1  d i4 ng4 
穿制	ch u1 a1 nn1  zh ii4 
服	f u2 
弟弟	d i4  d i0 
運動	yu4 nn4  d u4 ng4 
手錶	sh o3 u3  b i3 a3 u3 
慢	m a4 nn4 
十五	sh ii2  u3 
末	m o4 
打掃	d a3  s a3 u3 
手	sh o3 u3 
只	zh ii3 
玉手環	yu4  sh o3 u3  h u2 a2 nn2 
父母	f u4  m u3 
希望	x i1  u4 a4 ng4 
醫學院	i1  x yu2 e2  yu4 a4 nn4 
老奶奶	l a3 u3  n a3 i3  n a3 i3 
心地	x i1 nn1  d i4 
善良	sh a4 nn4  l i2 a2 ng2 
鋼筆	g a1 ng1  b i3 
墨水	m o4  sh u3 e3 i3 
跟	g ern1 
替	t i4 
病假	b i4 ng4  j i4 a4 
什麼	sh ern2  m er0 
心事	x i1 nn1  sh ii4 
昏昏沉沉	h u1 nn1  h u1 nn1  ch ern2  ch ern2 
粉紅色	f ern3  h u2 ng2  s er4 
外套	u4 a4 i4  t a4 u4 
熊貓	x i2 o2 ng2  m a1 u1 
中秋節	zh u1 ng1  q i1 o1 u1  j i2 e2 
賞	sh a3 ng3 
段	d u4 a4 nn4 
洪水	h u2 ng2  sh u3 e3 i3 
沖毀	ch u1 ng1  h u3 e3 i3 
作文	z u4 o4  u2 nn2 
獲獎	h u4 o4  j i3 a3 ng3 
五香	u3  x i1 a1 ng1 
瓜子	g u1 a1  z ii0 
拿	n a2 
相機	x i1 a1 ng1  j i1 
照相	zh a4 u4  x i4 a4 ng4 
妹妹	m e4 i4  m e4 i4 
上街	sh a4 ng4  j i1 e1 
洋裝	i2 a2 ng2  zh u1 a1 ng1 
笑	x i4 a4 u4 
膽小鬼	d a3 nn3  x i3 a3 u3  g u3 e3 i3 
櫃子	g u4 e4 i4  z ii0 
搬上	b a1 nn1  sh a4 ng4 
樓	l o2 u2 
場	ch a3 ng3 
雨	yu3 
整整	zh ng3  zh ng3 
星期	x i1 ng1  q i2 
雜草	z a2  c a3 u3 
護士	h u4  sh ii4 
病人	b i4 ng4  rh ern2 
換	h u4 a4 nn4 
熬中藥	a2 u2  zh u1 ng1  i4 a4 u4 
紀念品	j i4  n i4 a4 nn4  p i3 nn3 
合夥	h er2  h u3 o3 
夢想	m ng4  x i3 a3 ng3 
當	d a1 ng1 
電風扇	d i4 a4 nn4  f ng1  sh a4 nn4 
捐	j yu1 a1 nn1 
衣物	i1  u4 
災區	z a1 i1  q yu1 
報導	b a4 u4  d a3 u3 
那裏	n a4  l i3 
發生	f a1  sh ng1 
地震	d i4  zh ern4 
姊夫	z ii3  f u1 
修好	x i1 o1 u1  h a3 u3 
收音機	sh o1 u1  i1 nn1  j i1 
用	i4 o4 ng4 
家具	j i1 a1  j yu4 
雞蛋	j i1  d a4 nn4 
放入	f a4 ng4  rh u4 
冰箱	b i1 ng1  x i1 a1 ng1 
橘黃色	j yu2  h u2 a2 ng2  s er4 
燈	d ng1 
顯得	x i3 a3 nn3  d er2 
溫馨	u1 nn1  x i1 nn1 
掛	g u4 a4 
油畫	i2 o2 u2  h u4 a4 
抹布	m a1  b u4 
擦乾淨	c a1  q i2 a2 nn2  j i4 ng4 
治	zh ii4 
氣喘	q i4  ch u3 a3 nn3 
祖傳	z u3  ch u2 a2 nn2 
秘方	m i4  f a1 ng1 
現在	x i4 a4 nn4  z a4 i4 
自己	z ii4  j i3 
做飯	z u4 o4  f a4 nn4 
清明節	q i1 ng1  m i2 ng2  j i2 e2 
毛毛雨	m a2 u2  m a2 u2  yu3 
借	j i4 e4 
三百	s a1 nn1  b a3 i3 
廚師	ch u2  sh ii1 
節目	j i2 e2  m u4 
