一	i1 
今晚	j i1 nn1  u3 a3 nn3 
仔細	z a3 i3  x i4 
仔細幫	z a3 i3  x i4  b a1 ng1 
他	t a1 
他們	t a1  m ern0 
他剛	t a1  g a1 ng1 
他會	t a1  h u4 e4 i4 
他答	t a1  d a2 
他裝	t a1  zh u1 a1 ng1 
他覺	t a1  j yu2 e2 
他頭	t a1  t o2 u2 
付	f u4 
付十塊	f u4  sh ii2  k u4 a4 i4 
以前	i3  q i2 a2 nn2 
件	j i4 a4 nn4 
份	f ern4 
似的	sh ii4  d er0 
佈	b u4 
位	u4 e4 i4 
住院	zh u4  yu4 a4 nn4 
作	z u4 o4 
作文	z u4 o4  u2 nn2 
作業	z u4 o4  i4 e4 
作班長	z u4 o4  b a1 nn1  zh a3 ng3 
你	n i3 
你們	n i3  m ern0 
來	l a2 i2 
依	i1 
便	b i4 a4 nn4 
便宜	p i2 a2 nn2  i2 
便衣	b i4 a4 nn4  i1 
便衣警察	b i4 a4 nn4  i1  j i3 ng3  ch a2 
信用	x i4 nn4  i4 o4 ng4 
信箱	x i4 nn4  x i1 a1 ng1 
修好	x i1 o1 u1  h a3 u3 
修房子	x i1 o1 u1  f a2 ng2  z ii0 
修花	x i1 o1 u1  h u1 a1 
俱	j yu4 
個	g er0 
個人	g er4  rh ern2 
個膽	g er4  d a3 nn3 
們	m ern0 
倒	d a4 u4 
借	j i4 e4 
借到	j i4 e4  d a4 u4 
假	j i3 a3 
做	z u4 o4 
做了	z u4 o4  l er0 
做好	z u4 o4  h a3 u3 
做完	z u4 o4  u2 a2 nn2 
做得	z u4 o4  d er2 
做班長	z u4 o4  b a1 nn1  zh a3 ng3 
做飯	z u4 o4  f a4 nn4 
傢	j i1 a1 
傢俱	j i1 a1  j yu4 
傷口	sh a1 ng1  k o3 u3 
傷心	sh a1 ng1  x i1 nn1 
像	x i4 a4 ng4 
元	yu2 a2 nn2 
元宵	yu2 a2 nn2  x i1 a1 u1 
元宵節	yu2 a2 nn2  x i1 a1 u1  j i2 e2 
光頭	g u1 a1 ng1  t o2 u2 
入學	rh u4  x yu2 e2 
全	q yu2 a2 nn2 
全家	q yu2 a2 nn2  j i1 a1 
全家人	q yu2 a2 nn2  j i1 a1  rh ern2 
全班	q yu2 a2 nn2  b a1 nn1 
兩	l i3 a3 ng3 
兩個	l i3 a3 ng3  g er0 
兩包	l i3 a3 ng3  b a1 u1 
八寶	b a1  b a3 u3 
八寶粥	b a1  b a3 u3  zh o1 u1 
公	g u1 ng1 
公佈欄	g u1 ng1  b u4  l a2 nn2 
公司	g u1 ng1  s ii1 
公園	g u1 ng1  yu2 a2 nn2 
公園裡	g u1 ng1  yu2 a2 nn2  l i3 
公路	g u1 ng1  l u4 
典禮	d i3 a3 nn3  l i3 
再	z a4 i4 
冬天	d u1 ng1  t i1 a1 nn1 
冰塊	b i1 ng1  k u4 a4 i4 
冰箱	b i1 ng1  x i1 a1 ng1 
出	ch u1 
出去	ch u1  q yu4 
出去玩	ch u1  q yu4  u2 a2 nn2 
出國	ch u1  g u2 o2 
出差	ch u1  ch a1 i1 
出門	ch u1  m ern2 
出門前	ch u1  m ern2  q i2 a2 nn2 
出門時	ch u1  m ern2  sh ii2 
出門要	ch u1  m ern2  i4 a4 u4 
分鐘	f ern1  zh u1 ng1 
列車	l i4 e4  ch er1 
初一	ch u1  i1 
別	b i2 e2 
別證	b i2 e2  zh ng4 
刮	g u1 a1 
刮大風	g u1 a1  d a4  f ng1 
到	d a4 u4 
制服	zh ii4  f u2 
剃	t i4 
前	q i2 a2 nn2 
前配	q i2 a2 nn2  p e4 i4 
剛	g a1 ng1 
剛剛	g a1 ng1  g a1 ng1 
剛才	g a1 ng1  c a2 i2 
剛過	g a1 ng1  g u4 o4 
副	f u4 
劇	j yu4 
劇的確	j yu4  d er0  q yu4 e4 
功課	g u1 ng1  k er4 
加考	j i1 a1  k a3 u3 
包	b a1 u1 
包子	b a1 u1  z ii0 
包店	b a1 u1  d i4 a4 nn4 
包水	b a1 u1  sh u3 e3 i3 
包裹	b a1 u1  g u3 o3 
化	h u4 a4 
化妝品	h u4 a4  zh u1 a1 ng1  p i3 nn3 
化妝水	h u4 a4  zh u1 a1 ng1  sh u3 e3 i3 
北方	b e3 i3  f a1 ng1 
北方人	b e3 i3  f a1 ng1  rh ern2 
北邊	b e3 i3  b i1 a1 nn1 
匯款	h u4 e4 i4  k u3 a3 nn3 
十	sh ii2 
十七	sh ii2  q i1 
十五	sh ii2  u3 
十五分	sh ii2  u3  f ern1 
十分	sh ii2  f ern1 
十分鐘	sh ii2  f ern1  zh u1 ng1 
十塊	sh ii2  k u4 a4 i4 
十度	sh ii2  d u4 
十點	sh ii2  d i3 a3 nn3 
十點鐘	sh ii2  d i3 a3 nn3  zh u1 ng1 
南邊	n a2 nn2  b i1 a1 nn1 
卡片	k a3  p i4 a4 nn4 
厚厚	h o4 u4  h o4 u4 
厚厚的	h o4 u4  h o4 u4  d er0 
原始	yu2 a2 nn2  sh ii3 
原始森林	yu2 a2 nn2  sh ii3  s ern1  l i2 nn2 
去	q yu4 
去會	q yu4  h u4 e4 i4 
去賞	q yu4  sh a3 ng3 
參	c a1 nn1 
參加	c a1 nn1  j i1 a1 
參加會議	c a1 nn1  j i1 a1  h u4 e4 i4  i4 
參考	c a1 nn1  k a3 u3 
參考書	c a1 nn1  k a3 u3  sh u1 
參觀	c a1 nn1  g u1 a1 nn1 
又	i4 o4 u4 
反感	f a3 nn3  g a3 nn3 
叔叔	sh u1  sh u1 
取消	q yu3  x i1 a1 u1 
受	sh o4 u4 
口	k o3 u3 
口袋	k o3 u3  d a4 i4 
只	zh ii3 
叫	j i4 a4 u4 
可	k er3 
可以	k er3  i3 
可愛	k er3  a4 i4 
台	t a2 i2 
台幣	t a2 i2  b i4 
吃	ch ii1 
吃藥	ch ii1  i4 a4 u4 
吃飯	ch ii1  f a4 nn4 
吃魚	ch ii1  yu2 
吃麥	ch ii1  m a4 i4 
各	g er4 
各種	g er4  zh u3 ng3 
合伙	h er2  h u3 o3 
合唱	h er2  ch a4 ng4 
合唱團	h er2  ch a4 ng4  t u2 a2 nn2 
合夥	h er2  h u3 o3 
合身	h er2  sh ern1 
合適	h er2  sh ii4 
同事	t u2 ng2  sh ii4 
同學	t u2 ng2  x yu2 e2 
同學要	t u2 ng2  x yu2 e2  i4 a4 u4 
同意	t u2 ng2  i4 
名	m i2 ng2 
名片	m i2 ng2  p i4 a4 nn4 
名片上	m i2 ng2  p i4 a4 nn4  sh a4 ng4 
名聞	m i2 ng2  u2 nn2 
吐吐	t u3  t u3 
向	x i4 a4 ng4 
向日葵	x i4 a4 ng4  rh ii4  k u2 e2 i2 
吞吞	t u1 nn1  t u1 nn1 
吞吞吐吐	t u1 nn1  t u1 nn1  t u3  t u3 
吧	b a0 
吵架	ch a3 u3  j i4 a4 
吸	x i1 
吸煙	x i1  i1 a1 nn1 
吸菸	x i1  i1 a1 nn1 
周	zh o1 u1 
周五	zh o1 u1  u3 
周末	zh o1 u1  m o4 
和	h er2 
咬	i3 a3 u3 
咬了	i3 a3 u3  l er0 
咬了一口	i3 a3 u3  l er0  i1  k o3 u3 
品	p i3 nn3 
員	yu2 a2 nn2 
哥哥	g er1  g er1 
唐代	t a2 ng2  d a4 i4 
唱歌	ch a4 ng4  g er1 
啃	k ern3 
商量	sh a1 ng1  l i2 a2 ng2 
善良	sh a4 nn4  l i2 a2 ng2 
喘	ch u3 a3 nn3 
喜歡	x i3  h u1 a1 nn1 
喜酒	x i3  j i3 o3 u3 
喝	h er1 
喝杯	h er1  b e1 i1 
喝醉	h er1  z u4 e4 i4 
喝龍井	h er1  l u2 ng2  j i3 ng3 
喝龍井龍井	h er1  l u2 ng2  j i3 ng3  l u2 ng2  j i3 ng3 
單	d a1 nn1 
單給	d a1 nn1  g e3 i3 
嗎	m a0 
噴灑	p ern1  s a3 
四處	s ii4  ch u4 
回	h u2 e2 i2 
回來	h u2 e2 i2  l a2 i2 
回回來	h u2 e2 i2  h u2 e2 i2  l a2 i2 
回老家	h u2 e2 i2  l a3 u3  j i1 a1 
因故	i1 nn1  g u4 
因為	i1 nn1  u4 e4 i4 
國外	g u2 o2  u4 a4 i4 
國家	g u2 o2  j i1 a1 
國慶日	g u2 o2  q i4 ng4  rh ii4 
圍	u2 e2 i2 
園	yu2 a2 nn2 
圓	yu2 a2 nn2 
圖書	t u2  sh u1 
圖書館員	t u2  sh u1  g u3 a3 nn3  yu2 a2 nn2 
團	t u2 a2 nn2 
團聚	t u2 a2 nn2  j yu4 
團要	t u2 a2 nn2  i4 a4 u4 
在	z a4 i4 
在一起	z a4 i4  i4  q i3 
在家	z a4 i4  j i1 a1 
在裝	z a4 i4  zh u1 a1 ng1 
地上	d i4  sh a4 ng4 
地震	d i4  zh ern4 
城	ch ng2 
城中	ch ng2  zh u1 ng1 
城市	ch ng2  sh ii4 
城裡	ch ng2  l i3 
報告	b a4 u4  g a4 u4 
報導	b a4 u4  d a3 u3 
報紙	b a4 u4  zh ii3 
場	ch a3 ng3 
塊	k u4 a4 i4 
塞	s a1 i1 
塞滿	s a1 i1  m a3 nn3 
塞買	s a1 i1  m a3 i3 
填好	t i2 a2 nn2  h a3 u3 
填寫	t i2 a2 nn2  x i3 e3 
增加	z ng1  j i1 a1 
墨水	m o4  sh u3 e3 i3 
壞	h u4 a4 i4 
壞習慣	h u4 a4 i4  x i2  g u4 a4 nn4 
壺	h u2 
夏天	x i4 a4  t i1 a1 nn1 
外國	u4 a4 i4  g u2 o2 
外國人	u4 a4 i4  g u2 o2  rh ern2 
外套	u4 a4 i4  t a4 u4 
外婆	u4 a4 i4  p o2 
外聞名	u4 a4 i4  u2 nn2  m i2 ng2 
外面	u4 a4 i4  m i4 a4 nn4 
多	d u1 o1 
多家	d u1 o1  j i1 a1 
多年	d u1 o1  n i2 a2 nn2 
夜	i4 e4 
夢	m ng4 
夢想	m ng4  x i3 a3 ng3 
大	d a4 
大伯	d a4  b o2 
大包	d a4  b a1 u1 
大多	d a4  d u1 o1 
大多數	d a4  d u1 o1  sh u4 
大學	d a4  x yu2 e2 
大家	d a4  j i1 a1 
大年	d a4  n i2 a2 nn2 
大年初一	d a4  n i2 a2 nn2  ch u1  i1 
大樓	d a4  l o2 u2 
大橋	d a4  q i2 a2 u2 
大減價	d a4  j i3 a3 nn3  j i4 a4 
大火	d a4  h u3 o3 
大熊	d a4  x i2 o2 ng2 
大熊貓	d a4  x i2 o2 ng2  m a1 u1 
大缸	d a4  g a1 ng1 
大門	d a4  m ern2 
大門口	d a4  m ern2  k o3 u3 
大雨	d a4  yu3 
大風	d a4  f ng1 
天	t i1 a1 nn1 
天氣	t i1 a1 nn1  q i4 
天賦	t i1 a1 nn1  f u4 
太	t a4 i4 
太快	t a4 i4  k u4 a4 i4 
夾傷	j i1 a1  sh a1 ng1 
套	t a4 u4 
奶奶	n a3 i3  n a3 i3 
奶奶家	n a3 i3  n a3 i3  j i1 a1 
她	t a1 
她們	t a1  m ern0 
好	h a3 u3 
好不容易	h a3 u3  b u4  rh u2 ng2  i4 
好久	h a3 u3  j i3 o3 u3 
好像	h a3 u3  x i4 a4 ng4 
好吃	h a3 u3  ch ii1 
好多	h a3 u3  d u1 o1 
好好	h a3 u3  h a3 u3 
好幾	h a3 u3  j i3 
好朋友	h a3 u3  p ng2  i3 o3 u3 
妹妹	m e4 i4  m e4 i4 
姊夫	z ii3  f u1 
姊妹	z ii3  m e4 i4 
姊姊	z ii3  z ii3 
姐夫	j i3 e3  f u1 
姐妹	j i3 e3  m e4 i4 
姐姐	j i3 e3  j i3 e3 
姿勢	z ii1  sh ii4 
婆婆	p o2  p o0 
媽	m a1 
媽媽	m a1  m a1 
子上	z ii0  sh a4 ng4 
字典	z ii4  d i3 a3 nn3 
孝順	x i4 a4 u4  sh u4 nn4 
孩子	h a2 i2  z ii0 
孩子們	h a2 i2  z ii0  m ern0 
學	x yu2 e2 
學入	x yu2 e2  rh u4 
學手續	x yu2 e2  sh o3 u3  x yu4 
學期	x yu2 e2  q i2 
學校	x yu2 e2  x i4 a4 u4 
學生	x yu2 e2  sh ng1 
學習	x yu2 e2  x i2 
學音樂	x yu2 e2  i1 nn1  l er4 
守信用	sh o3 u3  x i4 nn4  i4 o4 ng4 
完	u2 a2 nn2 
完全	u2 a2 nn2  q yu2 a2 nn2 
完全同意	u2 a2 nn2  q yu2 a2 nn2  t u2 ng2  i4 
完功	u2 a2 nn2  g u1 ng1 
客	k er4 
宣判	x yu1 a1 nn1  p a4 nn4 
宣布	x yu1 a1 nn1  b u4 
家	j i1 a1 
家人	j i1 a1  rh ern2 
家具	j i1 a1  j yu4 
家裡	j i1 a1  l i3 
家長	j i1 a1  zh a3 ng3 
家長會	j i1 a1  zh a3 ng3  h u4 e4 i4 
家養	j i1 a1  i3 a3 ng3 
容易	rh u2 ng2  i4 
宿舍	s u4  sh er4 
寄	j i4 
寄些	j i4  x i1 e1 
實況	sh ii2  k u4 a4 ng4 
寫	x i3 e3 
寶寶	b a3 u3  b a3 u3 
寶寶剛	b a3 u3  b a3 u3  g a1 ng1 
寺	s ii4 
寺廟	s ii4  m i4 a4 u4 
將要	j i1 a1 ng1  i4 a4 u4 
對	d u4 e4 i4 
小	x i3 a3 u3 
小偷	x i3 a3 u3  t o1 u1 
小名	x i3 a3 u3  m i2 ng2 
小妹	x i3 a3 u3  m e4 i4 
小妹子	x i3 a3 u3  m e4 i4  z ii0 
小孩子	x i3 a3 u3  h a2 i2  z ii0 
小心	x i3 a3 u3  x i1 nn1 
小朋友	x i3 a3 u3  p ng2  i3 o3 u3 
小花	x i3 a3 u3  h u1 a1 
小貓	x i3 a3 u3  m a1 u1 
小鬼	x i3 a3 u3  g u3 e3 i3 
就	j i4 o4 u4 
就要	j i4 o4 u4  i4 a4 u4 
居家	j yu1  j i1 a1 
山頂	sh a1 nn1  d i3 ng3 
山頂上	sh a1 nn1  d i3 ng3  sh a4 ng4 
工人	g u1 ng1  rh ern2 
工作	g u1 ng1  z u4 o4 
工地	g u1 ng1  d i4 
工地上	g u1 ng1  d i4  sh a4 ng4 
工業區	g u1 ng1  i4 e4  q yu1 
工程	g u1 ng1  ch ng2 
工程師	g u1 ng1  ch ng2  sh ii1 
差	ch a4 
已	i3 
已經	i3  j i1 ng1 
已經開	i3  j i1 ng1  k a1 i1 
市長	sh ii4  zh a3 ng3 
希望	x i1  u4 a4 ng4 
師	sh ii1 
帶	d a4 i4 
帶傘	d a4 i4  s a3 nn3 
帶給	d a4 i4  g e3 i3 
帶雨傘	d a4 i4  yu3  s a3 nn3 
常	ch a2 ng2 
常去	ch a2 ng2  q yu4 
常常	ch a2 ng2  ch a2 ng2 
常年	ch a2 ng2  n i2 a2 nn2 
常有	ch a2 ng2  i3 o3 u3 
幅	f u2 
幫	b a1 ng1 
幫媽媽	b a1 ng1  m a1  m a1 
幫老	b a1 ng1  l a3 u3 
平常	p i2 ng2  ch a2 ng2 
年	n i2 a2 nn2 
幾	j i3 
幾乎	j i3  h u1 
幾個	j i3  g er0 
幾天	j i3  t i1 a1 nn1 
幾天前	j i3  t i1 a1 nn1  q i2 a2 nn2 
幾本	j i3  b ern3 
幾本書	j i3  b ern3  sh u1 
床	ch u2 a2 ng2 
床單	ch u2 a2 ng2  d a1 nn1 
度	d u4 
座	z u4 o4 
座位	z u4 o4  u4 e4 i4 
庭院	t i2 ng2  yu4 a4 nn4 
廁所	c er4  s u3 o3 
廚師	ch u2  sh ii1 
廚房	ch u2  f a2 ng2 
廚房裡	ch u2  f a2 ng2  l i3 
廟	m i4 a4 u4 
廣播	g u3 a3 ng3  b o1 
建	j i4 a4 nn4 
建築	j i4 a4 nn4  zh u4 
弟弟	d i4  d i0 
張	zh a1 ng1 
彈	d a4 nn4 
彈鋼琴	d a4 nn4  g a1 ng1  q i2 nn2 
彩	c a3 i3 
彩排	c a3 i3  p a2 i2 
彬彬	b i1 nn1  b i1 nn1 
彬彬有禮	b i1 nn1  b i1 nn1  i3 o3 u3  l i3 
影票	i3 ng3  p i4 a4 u4 
影院	i3 ng3  yu4 a4 nn4 
往	u3 a3 ng3 
待遇	d a4 i4  yu4 
很	h ern3 
很久	h ern3  j i3 o3 u3 
很傷	h ern3  sh a1 ng1 
很受	h ern3  sh o4 u4 
很合適	h ern3  h er2  sh ii4 
很多	h ern3  d u1 o1 
很多很多	h ern3  d u1 o1  h ern3  d u1 o1 
很好	h ern3  h a3 u3 
很快	h ern3  k u4 a4 i4 
很特別	h ern3  t er4  b i2 e2 
很盛	h ern3  sh ng4 
後	h o4 u4 
得	d er2 
心事	x i1 nn1  sh ii4 
心地	x i1 nn1  d i4 
忘	u4 a4 ng4 
快	k u4 a4 i4 
怪	g u4 a4 i4 
怪夢	g u4 a4 i4  m ng4 
恐怕	k u3 ng3  p a4 
恐怖	k u3 ng3  b u4 
您	n i2 nn2 
想	x i3 a3 ng3 
意外	i4  u4 a4 i4 
意選	i4  x yu3 a3 nn3 
愛	a4 i4 
愛吃	a4 i4  ch ii1 
愛找	a4 i4  zh a3 u3 
愛買	a4 i4  m a3 i3 
愛買些	a4 i4  m a3 i3  x i1 e1 
慢	m a4 nn4 
慶祝	q i4 ng4  zh u4 
應要	i1 ng1  i4 a4 u4 
應該	i1 ng1  g a1 i1 
成績	ch ng2  j i1 
我	u3 o3 
我們	u3 o3  m ern0 
我十點	u3 o3  sh ii2  d i3 a3 nn3 
我十點鐘	u3 o3  sh ii2  d i3 a3 nn3  zh u1 ng1 
我常去	u3 o3  ch a2 ng2  q yu4 
我怕	u3 o3  p a4 
我要	u3 o3  i4 a4 u4 
截稿	j i2 e2  g a3 u3 
戴	d a4 i4 
戴著	d a4 i4  zh u4 
房子	f a2 ng2  z ii0 
房間	f a2 ng2  j i1 a1 nn1 
房間裡	f a2 ng2  j i1 a1 nn1  l i3 
所	s u3 o3 
所有	s u3 o3  i3 o3 u3 
手	sh o3 u3 
手上	sh o3 u3  sh a4 ng4 
手環	sh o3 u3  h u2 a2 nn2 
手續	sh o3 u3  x yu4 
手術	sh o3 u3  sh u4 
手錶	sh o3 u3  b i3 a3 u3 
才	c a2 i2 
打	d a3 
打入	d a3  rh u4 
打字	d a3  z ii4 
打打	d a3  d a3 
打掃	d a3  s a3 u3 
打破	d a3  p o4 
打翻	d a3  f a1 nn1 
打電話	d a3  d i4 a4 nn4  h u4 a4 
打領	d a3  l i3 ng3 
打領帶	d a3  l i3 ng3  d a4 i4 
打麻將	d a3  m a2  j i1 a1 ng1 
扭傷	n i3 o3 u3  sh a1 ng1 
找	zh a3 u3 
找出	zh a3 u3  ch u1 
把	b a3 
抓	zh u1 a1 
抓到	zh u1 a1  d a4 u4 
抓破	zh u1 a1  p o4 
投籃	t o2 u2  l a2 nn2 
抱怨	b a4 u4  yu4 a4 nn4 
抹布	m a1  b u4 
拉	l a1 
拉麵	l a1  m i4 a4 nn4 
拍照	p a1 i1  zh a4 u4 
招待	zh a1 u1  d a4 i4 
招待會	zh a1 u1  d a4 i4  h u4 e4 i4 
招聘	zh a1 u1  p i4 nn4 
拜年	b a4 i4  n i2 a2 nn2 
拿	n a2 
捐	j yu1 a1 nn1 
掃	s a3 u3 
掃地	s a3 u3  d er0 
掉	d i4 a4 u4 
排	p a2 i2 
掛	g u4 a4 
掛著	g u4 a4  zh u4 
探望	t a4 nn4  u4 a4 ng4 
接	j i1 e1 
接到	j i1 e1  d a4 u4 
接聽	j i1 e1  t i1 ng1 
接電話	j i1 e1  d i4 a4 nn4  h u4 a4 
提前	t i2  q i2 a2 nn2 
換	h u4 a4 nn4 
換床	h u4 a4 nn4  ch u2 a2 ng2 
搬	b a1 nn1 
搬上	b a1 nn1  sh a4 ng4 
搬家	b a1 nn1  j i1 a1 
搭乘	d a1  ch ng2 
撞	zh u4 a4 ng4 
撞到	zh u4 a4 ng4  d a4 u4 
撰	zh u4 a4 nn4 
撰寫	zh u4 a4 nn4  x i3 e3 
撲克牌	p u1  k er4  p a2 i2 
撿	j i3 a3 nn3 
撿到	j i3 a3 nn3  d a4 u4 
擅長	sh a4 nn4  zh a3 ng3 
操場	c a1 u1  ch a3 ng3 
擔心	d a1 nn1  x i1 nn1 
擦乾	c a1  q i2 a2 nn2 
擦乾淨	c a1  q i2 a2 nn2  j i4 ng4 
擺	b a3 i3 
擺好	b a3 i3  h a3 u3 
擺滿	b a3 i3  m a3 nn3 
支	zh ii1 
收到	sh o1 u1  d a4 u4 
收據	sh o1 u1  j yu4 
收音	sh o1 u1  i1 nn1 
收音機	sh o1 u1  i1 nn1  j i1 
放	f a4 ng4 
放假	f a4 ng4  j i4 a4 
放入	f a4 ng4  rh u4 
放多	f a4 ng4  d u1 o1 
放學	f a4 ng4  x yu2 e2 
放放學	f a4 ng4  f a4 ng4  x yu2 e2 
放長	f a4 ng4  zh a3 ng3 
放風箏	f a4 ng4  f ng1  zh ng1 
故事	g u4  sh ii4 
故宮	g u4  g u1 ng1 
教	j i4 a4 u4 
教數學	j i4 a4 u4  sh u4  x yu2 e2 
整	zh ng3 
整夜	zh ng3  i4 e4 
整整	zh ng3  zh ng3 
整晚	zh ng3  u3 a3 nn3 
敷	f u1 
敷冰塊	f u1  b i1 ng1  k u4 a4 i4 
數	sh u4 
數學	sh u4  x yu2 e2 
文件	u2 nn2  j i4 a4 nn4 
新	x i1 nn1 
新老師	x i1 nn1  l a3 u3  sh ii1 
新聞	x i1 nn1  u2 nn2 
於	yu2 
旅遊	l yu3  i2 o2 u2 
旅遊業	l yu3  i2 o2 u2  i4 e4 
旅遊點	l yu3  i2 o2 u2  d i3 a3 nn3 
日	rh ii4 
早上	z a3 u3  sh a4 ng4 
早早	z a3 u3  z a3 u3 
早餐	z a3 u3  c a1 nn1 
早點	z a3 u3  d i3 a3 nn3 
明天	m i2 ng2  t i1 a1 nn1 
明媚	m i2 ng2  m e4 i4 
昏昏沉沉	h u1 nn1  h u1 nn1  ch ern2  ch ern2 
昏沉沉	h u1 nn1  ch ern2  ch ern2 
星期	x i1 ng1  q i2 
星期一	x i1 ng1  q i2  i1 
星期天	x i1 ng1  q i2  t i1 a1 nn1 
春天	ch u1 nn1  t i1 a1 nn1 
春節	ch u1 nn1  j i2 e2 
昨天	z u2 o2  t i1 a1 nn1 
昨天晚上	z u2 o2  t i1 a1 nn1  u3 a3 nn3  sh a4 ng4 
是	sh ii4 
是當	sh ii4  d a1 ng1 
是雙	sh ii4  sh u1 a1 ng1 
時	sh ii2 
時別	sh ii2  b i2 e2 
時裝	sh ii2  zh u1 a1 ng1 
時間	sh ii2  j i1 a1 nn1 
晚	u3 a3 nn3 
晚上	u3 a3 nn3  sh a4 ng4 
晚晚	u3 a3 nn3  u3 a3 nn3 
晚會	u3 a3 nn3  h u4 e4 i4 
晚飯	u3 a3 nn3  f a4 nn4 
晚餐	u3 a3 nn3  c a1 nn1 
景美	j i3 ng3  m e3 i3 
暗	a4 nn4 
書	sh u1 
書店	sh u1  d i4 a4 nn4 
書法	sh u1  f a3 
替	t i4 
最	z u4 e4 i4 
最喜歡	z u4 e4 i4  x i3  h u1 a1 nn1 
最近	z u4 e4 i4  j i4 nn4 
會	h u4 e4 i4 
會講	h u4 e4 i4  j i3 a3 ng3 
會議	h u4 e4 i4  i4 
會議室	h u4 e4 i4  i4  sh ii4 
